Chihuahua                                         ,Chinipas                                          ,1202
Chihuahua                                         ,Delicias                                          ,56882
Chihuahua                                         ,Dr. Belisario Dominguez                           ,1951
Chihuahua                                         ,Galeana                                           ,2347
Chihuahua                                         ,Santa Isabel                                      ,2358
Chihuahua                                         ,Gomez Farias                                      ,4324
Chihuahua                                         ,Gran Morelos                                      ,1833
Chihuahua                                         ,Guachochi                                         ,9988
Chihuahua                                         ,Guadalupe                                         ,1258
Chihuahua                                         ,Guadalupe y Calvo                                 ,6610
Chihuahua                                         ,Guazapares                                        ,1784
Chihuahua                                         ,Guerrero                                          ,16306
Chihuahua                                         ,Hidalgo del Parral                                ,43519
Chihuahua                                         ,Huejotitan                                        ,454
Chihuahua                                         ,Ignacio Zaragoza                                  ,3104
Chihuahua                                         ,Janos                                             ,4368
Chihuahua                                         ,Jimenez                                           ,16416
Chihuahua                                         ,Juarez                                            ,421088
Chihuahua                                         ,Julimes                                           ,1951
Chihuahua                                         ,Lopez                                             ,1763
Chihuahua                                         ,Madera                                            ,11494
Chihuahua                                         ,Maguarichi                                        ,200
Chihuahua                                         ,Manuel Benavides                                  ,833
Chihuahua                                         ,Matachi                                           ,1532
Chihuahua                                         ,Matamoros                                         ,2130
Chihuahua                                         ,Meoqui                                            ,17927
Chihuahua                                         ,Morelos                                           ,529
Chihuahua                                         ,Moris                                             ,1246
Chihuahua                                         ,Namiquipa                                         ,12647
Chihuahua                                         ,Nonoava                                           ,982
Chihuahua                                         ,Nuevo Casas Grandes                               ,26032
Chihuahua                                         ,Ocampo                                            ,2698
Chihuahua                                         ,Ojinaga                                           ,14109
Chihuahua                                         ,Praxedis G. Guerrero                              ,668
Chihuahua                                         ,Riva Palacio                                      ,4438
Chihuahua                                         ,Rosales                                           ,6262
Chihuahua                                         ,Rosario                                           ,940
Chihuahua                                         ,San Francisco de Borja                            ,1260
Chihuahua                                         ,San Francisco de Conchos                          ,1942
Chihuahua                                         ,San Francisco del Oro                             ,2206
Chihuahua                                         ,Santa Barbara                                     ,4580
Chihuahua                                         ,Satevo                                            ,2019
Chihuahua                                         ,Saucillo                                          ,12686
Chihuahua                                         ,Temosachic                                        ,2289
Chihuahua                                         ,El Tule                                           ,844
