"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Mexico","41","Yield","2007","Hg/Ha","33536.00000","A "
"Mexico","41","Yield","2006","Hg/Ha","32138.00000","A "
"Mexico","41","Yield","2005","Hg/Ha","31313.00000","A "
"Mexico","41","Yield","2004","Hg/Ha","30791.00000","A "
"Mexico","41","Yield","2003","Hg/Ha","29643.00000","A "
"Mexico","41","Yield","2002","Hg/Ha","29137.00000","A "
"Mexico","41","Yield","2001","Hg/Ha","28556.00000","A "
"Mexico","41","Yield","2000","Hg/Ha","27613.00000","A "
"Mexico","41","Yield","1999","Hg/Ha","27083.00000","A "
"Mexico","41","Yield","1998","Hg/Ha","26395.00000","A "
"Mexico","41","Yield","1997","Hg/Ha","26790.00000","A "
"Mexico","41","Yield","1996","Hg/Ha","25530.00000","A "
"Mexico","41","Yield","1995","Hg/Ha","25197.00000","A "
"Mexico","41","Yield","1994","Hg/Ha","25184.00000","A "
"Mexico","41","Yield","1993","Hg/Ha","26395.00000","A "
"Mexico","41","Yield","1992","Hg/Ha","27083.00000","A "
"Mexico","41","Yield","1991","Hg/Ha","24269.00000","A "
"Mexico","41","Yield","1990","Hg/Ha","24244.00000","A "
"Mexico","41","Yield","1989","Hg/Ha","21982.00000","A "
"Mexico","41","Yield","1988","Hg/Ha","21805.00000","A "
"Mexico","41","Yield","1987","Hg/Ha","23219.00000","A "
"Mexico","41","Yield","1986","Hg/Ha","23324.00000","A "
"Mexico","41","Yield","1985","Hg/Ha","24311.00000","A "
"Mexico","41","Yield","1984","Hg/Ha","23404.00000","A "
"Mexico","41","Yield","1983","Hg/Ha","21836.00000","A "
"Mexico","41","Yield","1982","Hg/Ha","24156.00000","A "
"Mexico","41","Yield","1981","Hg/Ha","22925.00000","A "
"Mexico","41","Yield","1980","Hg/Ha","21911.00000","A "
"Mexico","41","Yield","1979","Hg/Ha","20090.00000","A "
"Mexico","41","Yield","1978","Hg/Ha","19184.00000","A "
"Mexico","41","Yield","1977","Hg/Ha","17794.00000","A "
"Mexico","41","Yield","1976","Hg/Ha","17298.00000","A "
"Mexico","41","Yield","1975","Hg/Ha","17449.00000","A "
"Mexico","41","Yield","1974","Hg/Ha","16137.00000","A "
"Mexico","41","Yield","1973","Hg/Ha","15016.00000","A "
"Mexico","41","Yield","1972","Hg/Ha","15135.00000","A "
"Mexico","41","Yield","1971","Hg/Ha","15299.00000","A "
"Mexico","41","Yield","1970","Hg/Ha","15407.00000","A "
"Mexico","41","Yield","1969","Hg/Ha","14927.00000","A "
"Mexico","41","Yield","1968","Hg/Ha","14303.00000","A "
"Mexico","41","Yield","1967","Hg/Ha","13714.00000","A "
"Mexico","41","Yield","1966","Hg/Ha","12900.00000","A "
"Mexico","41","Yield","1965","Hg/Ha","13355.00000","A "
"Mexico","41","Yield","1964","Hg/Ha","13020.00000","A "
"Mexico","41","Yield","1963","Hg/Ha","11300.00000","A "
"Mexico","41","Yield","1962","Hg/Ha","11245.00000","A "
